date,p0,p1,refit_date
2012-10-31,0.9795322995215946,0.020467700478405404,2011-12-31
2012-11-30,0.9162493595180684,0.08375064048193155,2011-12-31
2012-12-31,0.9999835346410735,1.646535892649043e-05,2012-12-31
2013-01-31,0.9999983661993922,1.6338006077237887e-06,2012-12-31
2013-02-28,0.9999977948241741,2.2051758259335306e-06,2012-12-31
2013-03-31,0.9999292848068269,7.071519317311653e-05,2012-12-31
2013-04-30,0.9998992714039994,0.00010072859600066798,2012-12-31
2013-05-31,0.9999994105464468,5.894535531724102e-07,2012-12-31
2013-06-30,0.9999999858940241,1.41059759337885e-08,2012-12-31
2013-07-31,0.9999999091329949,9.086700513939089e-08,2012-12-31
2013-08-31,0.9999999775723803,2.242761963216898e-08,2012-12-31
2013-09-30,0.9999999072298777,9.277012223329714e-08,2012-12-31
2013-10-31,0.9999996400041695,3.5999583043130347e-07,2012-12-31
2013-11-30,0.9999999538804101,4.611958988445141e-08,2012-12-31
2013-12-31,0.9999999977607432,2.2392568308522352e-09,2013-12-31
2014-01-31,0.9999999732364364,2.676356356551631e-08,2013-12-31
2014-02-28,0.9999999247508641,7.52491359530955e-08,2013-12-31
2014-03-31,0.9999999213212797,7.867872023610226e-08,2013-12-31
2014-04-30,0.9999999070374705,9.296252945736508e-08,2013-12-31
2014-05-31,0.9999950128171381,4.987182861965317e-06,2013-12-31
2014-06-30,0.9999732082864525,2.6791713547529e-05,2013-12-31
2014-07-31,0.9999899142968212,1.0085703178829903e-05,2013-12-31
2014-08-31,0.9997046681129893,0.00029533188701071186,2013-12-31
2014-09-30,0.9999855683922642,1.443160773580064e-05,2013-12-31
2014-10-31,0.9999709829875874,2.901701241265607e-05,2013-12-31
2014-11-30,0.9998098869344537,0.00019011306554631775,2013-12-31
2014-12-31,0.999999999999995,5.001446672063962e-15,2014-12-31
2015-01-31,0.9999999999999994,5.89865177780222e-16,2014-12-31
2015-02-28,1.0,1.550388223876403e-19,2014-12-31
2015-03-31,1.0,9.900712228314844e-19,2014-12-31
2015-04-30,1.0,1.6300768585524728e-19,2014-12-31
2015-05-31,1.0,1.2628294467186884e-20,2014-12-31
2015-06-30,1.0,7.786447347643768e-20,2014-12-31
2015-07-31,1.0,3.2333655631696065e-22,2014-12-31
2015-08-31,1.0,5.239658802063911e-18,2014-12-31
2015-09-30,1.0,3.0394177390914573e-18,2014-12-31
2015-10-31,1.0,3.70471142366885e-22,2014-12-31
2015-11-30,1.0,2.361701636669084e-22,2014-12-31
2015-12-31,1.0,3.08495438712228e-27,2015-12-31
2016-01-31,1.0,2.6984786907955543e-28,2015-12-31
2016-02-29,1.0,1.966763086017853e-25,2015-12-31
2016-03-31,1.0,4.592286763164956e-28,2015-12-31
2016-04-30,1.0,7.355424352317146e-28,2015-12-31
2016-05-31,1.0,6.0445145520285185e-27,2015-12-31
2016-06-30,1.0,3.6121536981726247e-25,2015-12-31
2016-07-31,1.0,2.9737696993090895e-26,2015-12-31
2016-08-31,1.0,2.844782137059415e-25,2015-12-31
2016-09-30,1.0,4.165163136151512e-26,2015-12-31
2016-10-31,1.0,8.158408665051228e-25,2015-12-31
2016-11-30,1.0,6.775057440690799e-26,2015-12-31
2016-12-31,1.0,2.8241332087639926e-24,2016-12-31
2017-01-31,1.0,2.139904751825238e-25,2016-12-31
2017-02-28,1.0,9.295038686702116e-26,2016-12-31
2017-03-31,1.0,5.64121166965159e-26,2016-12-31
2017-04-30,1.0,2.4392430461920038e-26,2016-12-31
2017-05-31,1.0,5.426564051199929e-26,2016-12-31
2017-06-30,1.0,6.448076540684735e-27,2016-12-31
2017-07-31,1.0,3.665896317114925e-27,2016-12-31
2017-08-31,1.0,3.19146742778587e-26,2016-12-31
2017-09-30,1.0,2.0418255291242908e-27,2016-12-31
2017-10-31,1.0,3.639877905411475e-26,2016-12-31
2017-11-30,1.0,6.250656728097168e-23,2016-12-31
2017-12-31,1.0,9.659523366100123e-24,2017-12-31
2018-01-31,1.0,2.3408718156875535e-22,2017-12-31
2018-02-28,1.0,3.2972402446642955e-20,2017-12-31
2018-03-31,1.0,7.262224505358605e-20,2017-12-31
2018-04-30,1.0,1.081330891990524e-20,2017-12-31
2018-05-31,1.0,1.908920788953167e-21,2017-12-31
2018-06-30,1.0,1.7724930264665596e-20,2017-12-31
2018-07-31,1.0,5.691536315449522e-22,2017-12-31
2018-08-31,1.0,8.337263705298309e-22,2017-12-31
2018-09-30,1.0,1.8455047948905812e-21,2017-12-31
2018-10-31,1.0,4.099931765543931e-17,2017-12-31
2018-11-30,1.0,1.663600139972027e-17,2017-12-31
2018-12-31,0.9999999924365381,7.563461905730125e-09,2018-12-31
2019-01-31,0.9999999995876773,4.1232277827533903e-10,2018-12-31
2019-02-28,0.9999999999746014,2.539861405765772e-11,2018-12-31
2019-03-31,0.9999999999973688,2.6312547172924745e-12,2018-12-31
2019-04-30,0.9999999999980972,1.9028455355044134e-12,2018-12-31
2019-05-31,0.9999999999976305,2.3695885247999662e-12,2018-12-31
2019-06-30,0.999999999997086,2.913970438466328e-12,2018-12-31
2019-07-31,0.9999999999933724,6.627626347127725e-12,2018-12-31
2019-08-31,0.9999999999825206,1.7479388136195216e-11,2018-12-31
2019-09-30,0.9999999999944301,5.569877246328327e-12,2018-12-31
2019-10-31,0.9999999999982588,1.7411842979418891e-12,2018-12-31
2019-11-30,0.9999999999999089,9.1135636406015e-14,2018-12-31
2019-12-31,1.0,5.1423500168297685e-19,2019-12-31
2020-01-31,1.0,4.7244335508604956e-18,2019-12-31
2020-02-29,0.9999999999999835,1.6575971588479365e-14,2019-12-31
2020-03-31,0.9999999999975194,2.4806144729016532e-12,2019-12-31
2020-04-30,1.0,3.899275054236115e-17,2019-12-31
2020-05-31,1.0,9.735014340670645e-39,2019-12-31
2020-06-30,1.0,1.4041240859698532e-38,2019-12-31
2020-07-31,1.0,3.46477911304915e-28,2019-12-31
2020-08-31,1.0,6.694656134409142e-25,2019-12-31
2020-09-30,1.0,2.2348379444114675e-24,2019-12-31
2020-10-31,1.0,1.4361335102123904e-21,2019-12-31
2020-11-30,1.0,3.56457202411834e-22,2019-12-31
2020-12-31,1.0,9.898905975720091e-24,2020-12-31
2021-01-31,1.0,7.473607320048985e-22,2020-12-31
2021-02-28,1.0,1.6676398608455513e-22,2020-12-31
2021-03-31,1.0,2.093612939272634e-27,2020-12-31
2021-04-30,1.0,4.129642065479438e-24,2020-12-31
2021-05-31,1.0,1.1510135535292662e-24,2020-12-31
2021-06-30,1.0,1.6303879796997597e-23,2020-12-31
2021-07-31,1.0,8.3793424321453765e-22,2020-12-31
2021-08-31,1.0,1.6502680328730961e-21,2020-12-31
2021-09-30,1.0,8.688619243966359e-20,2020-12-31
2021-10-31,1.0,3.248614604936998e-20,2020-12-31
2021-11-30,1.0,1.0327246729768637e-17,2020-12-31
2021-12-31,1.0,1.2344572079362728e-21,2021-12-31
2022-01-31,1.0,7.42094917893959e-20,2021-12-31
2022-02-28,1.0,6.85253583923846e-18,2021-12-31
2022-03-31,1.0,7.117961206636144e-18,2021-12-31
2022-04-30,0.9999999999999998,2.0763199579377415e-16,2021-12-31
