date,p0,p1
2005-08-31,0.9999828714538063,1.7128546344991884e-05
2005-09-30,0.9999351345488433,6.486545116741722e-05
2005-10-31,0.9999974275098231,2.5724900620562765e-06
2005-11-30,0.9999120617799988,8.793822012347229e-05
2005-12-31,0.9797699813974529,0.020230018602537158
2006-01-31,0.9329725513375483,0.06702744866250639
2006-02-28,0.39151905959647276,0.6084809404035127
2006-03-31,0.044245726947462455,0.9557542730525496
2006-04-30,0.003383801541981281,0.9966161984579399
2006-05-31,1.1719411378289246e-06,0.9999988280590105
2006-06-30,6.39970234669101e-07,0.9999993600297105
2006-07-31,5.919415746911148e-07,0.999999408058277
2006-08-31,2.0086640051283133e-06,0.9999979913361295
2006-09-30,2.397197123252213e-06,0.9999976028026678
2006-10-31,1.8522536440235295e-06,0.9999981477461789
2006-11-30,5.6893571423665295e-05,0.999943106428473
2006-12-31,3.8244053858150316e-05,0.999961755946149
2007-01-31,1.3758260811886445e-06,0.9999986241737503
2007-02-28,2.1234466162726633e-06,0.9999978765535878
2007-03-31,1.8641336951122243e-06,0.9999981358663812
2007-04-30,3.1145251946303714e-06,0.9999968854748047
2007-05-31,1.2974636879129253e-06,0.9999987025361637
2007-06-30,3.902350315794516e-06,0.9999960976496113
2007-07-31,0.0006142371180192973,0.999385762881799
2007-08-31,0.08431891511903243,0.9156810848809835
2007-09-30,0.8993461894831304,0.1006538105169981
2007-10-31,0.9985121307882745,0.0014878692118115606
2007-11-30,0.9999996529236944,3.470763102447224e-07
2007-12-31,0.9999998648591009,1.351408948295324e-07
2008-01-31,0.9999999997221494,2.7790119485943336e-10
2008-02-29,0.9999999999940883,5.9567624126114355e-12
2008-03-31,0.999999999996362,3.683829486488096e-12
2008-04-30,0.9999999989172466,1.0825917079806338e-09
2008-05-31,0.9999999964243216,3.5757113078551104e-09
2008-06-30,0.9999999964888957,3.5112456803813448e-09
2008-07-31,0.9999999890537765,1.094630360741875e-08
2008-08-31,0.9999999909955477,9.004232537571955e-09
2008-09-30,0.9999999997230589,2.771351647612056e-10
2008-10-31,1.0,6.171796632087547e-18
2008-11-30,1.0,1.0841307528709877e-23
2008-12-31,1.0,3.804421531968914e-27
2009-01-31,1.0,4.051549322327271e-37
2009-02-28,1.0,1.0282881677090188e-35
2009-03-31,1.0,2.4172888568977035e-28
2009-04-30,1.0,5.639534232927885e-27
2009-05-31,1.0,4.417095258870491e-25
2009-06-30,1.0,1.0886024301876985e-25
2009-07-31,1.0,4.669333347478064e-22
2009-08-31,1.0,7.413459099429288e-21
2009-09-30,1.0,9.970063614112599e-17
2009-10-31,1.0,2.2161341452798095e-16
2009-11-30,1.0,1.0250650979374228e-18
2009-12-31,1.0,5.372488764121708e-19
2010-01-31,1.0,2.1032674829093198e-17
2010-02-28,1.0,3.517088021940575e-16
2010-03-31,1.0,6.056415437929172e-16
