eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.5,0,10,gmm_filtered,0.2117096456711808,0.13845013291603017,-0.07325951275515064,-0.3013239199080703,0.12312944389232455,0.714,0.054608562170681586,258
0.5,0,10,rules,0.2117096456711808,0.06507797806145792,-0.1466316676097229,-0.35512001293341205,0.04619407115696023,0.9005,0.07000589245291551,258
0.5,0,20,hmm_filtered,0.2117096456711808,0.2081298772127173,-0.0035797684584635003,-0.17649135224945042,0.1553839356051606,0.5115,0.043875069304117456,258
0.5,0,20,hmm_smoothed,0.2117096456711808,0.27585826875772906,0.06414862308654826,-0.11080591995364426,0.24351283355047795,0.276,0.035955149255226075,258
0.5,0,20,gmm_filtered,0.2117096456711808,0.12486644996797369,-0.08684319570320712,-0.31599305745584916,0.10766935858775667,0.744,0.054608562170681586,258
0.5,0,20,rules,0.2117096456711808,0.0470856661375441,-0.16462397953363672,-0.37366261557546027,0.02985266687819592,0.9255,0.07000589245291551,258
0.5,0,50,hmm_filtered,0.2117096456711808,0.17501342862168828,-0.036696217049492524,-0.21220068107816456,0.12412803907129136,0.6415,0.043875069304117456,258
0.5,0,50,hmm_smoothed,0.2117096456711808,0.25045628328899944,0.03874663761781863,-0.13377003453432337,0.21871279081836367,0.365,0.035955149255226075,258
0.5,0,50,gmm_filtered,0.2117096456711808,0.08414789381636631,-0.1275617518548145,-0.35780776328087943,0.06696087872288549,0.85,0.054608562170681586,258
0.5,0,50,rules,0.2117096456711808,-0.0067379949332731556,-0.21844764060445396,-0.429693134129774,-0.025840122665535387,0.972,0.07000589245291551,258
0.5,1,10,hmm_filtered,0.20637752512387034,0.19054099885647635,-0.015836526267393986,-0.21621537321588274,0.18149817095620072,0.551,0.043991741037531625,257
0.5,1,10,hmm_smoothed,0.20637752512387034,0.2598843941730126,0.053506869049142286,-0.14581077808090415,0.2530780582440375,0.3355,0.03609505255972112,257
0.5,1,10,gmm_filtered,0.20637752512387034,0.12200667376396712,-0.08437085135990322,-0.28368265945096716,0.10162286355462809,0.788,0.05361540733271527,257
0.5,1,10,rules,0.20637752512387034,0.0828199312454866,-0.12355759387838373,-0.2778543843900329,0.01696693507812401,0.9235,0.06997042752151919,257
0.5,1,20,hmm_filtered,0.20637752512387034,0.1793776361703785,-0.02699988895349184,-0.22785526600215658,0.17096286363762273,0.5865,0.043991741037531625,257
0.5,1,20,hmm_smoothed,0.20637752512387034,0.2511727905680025,0.044795265444132176,-0.15458295300764244,0.24348580984862148,0.3625,0.03609505255972112,257
0.5,1,20,gmm_filtered,0.20637752512387034,0.10874042909240537,-0.09763709603146496,-0.297088936461935,0.08759879298069616,0.8205,0.05361540733271527,257
0.5,1,20,rules,0.20637752512387034,0.06572180763845964,-0.1406557174854107,-0.29636600339832303,-0.0015042628099354407,0.9505,0.06997042752151919,257
0.5,1,50,hmm_filtered,0.20637752512387034,0.14589387667372025,-0.060483648450150085,-0.26483500200748367,0.13688647829528505,0.696,0.043991741037531625,257
0.5,1,50,hmm_smoothed,0.20637752512387034,0.22495303011588433,0.01857550499201399,-0.1795092548693973,0.21400854719474666,0.4455,0.03609505255972112,257
0.5,1,50,gmm_filtered,0.20637752512387034,0.06899666882285099,-0.13738085630101934,-0.3388286590259827,0.049386270320448906,0.8965,0.05361540733271527,257
0.5,1,50,rules,0.20637752512387034,0.014604555426518635,-0.1917729696973517,-0.35147700718580194,-0.05003058387498684,0.987,0.06997042752151919,257
1.0,0,10,hmm_filtered,0.2117096456711808,0.18987559702121184,-0.021834048649968962,-0.3275556425546653,0.261016691775499,0.5465,0.08775013860823491,258
1.0,0,10,hmm_smoothed,0.2117096456711808,0.26759403142949967,0.05588438575831886,-0.23075276468315112,0.3391493442949644,0.3665,0.07191029851045215,258
1.0,0,10,gmm_filtered,0.2117096456711808,0.06559422383951719,-0.14611542183166362,-0.5227272378154851,0.1790275527037175,0.746,0.10921712434136319,258
1.0,0,10,rules,0.2117096456711808,-0.055473676167687315,-0.2671833218388681,-0.5999566499365023,0.07947819566411815,0.911,0.14001178490583102,258
1.0,0,20,hmm_filtered,0.2117096456711808,0.17271050641762364,-0.038999139253557163,-0.34361921581330324,0.24211906411214826,0.59,0.08775013860823491,258
1.0,0,20,hmm_smoothed,0.2117096456711808,0.2557723481766932,0.04406270250551239,-0.24122659919582817,0.32650454335971607,0.394,0.07191029851045215,258
1.0,0,20,gmm_filtered,0.2117096456711808,0.0443929526148369,-0.1673166930563439,-0.5428295219871095,0.1582930708514132,0.7805,0.10921712434136319,258
1.0,0,20,rules,0.2117096456711808,-0.08404909306716848,-0.2957587387383493,-0.626314653034935,0.04660960180266357,0.929,0.14001178490583102,258
1.0,0,50,hmm_filtered,0.2117096456711808,0.12126530550169701,-0.0904443401694838,-0.39944359189507,0.1941464202959146,0.6945,0.08775013860823491,258
1.0,0,50,hmm_smoothed,0.2117096456711808,0.22010322260226164,0.008393576931080837,-0.2732500456403817,0.29311220507132857,0.479,0.07191029851045215,258
1.0,0,50,gmm_filtered,0.2117096456711808,-0.019094724000749175,-0.23080436967193,-0.6058225555666308,0.09905034540080747,0.87,0.10921712434136319,258
1.0,0,50,rules,0.2117096456711808,-0.1692291337818073,-0.3809387794529881,-0.707398031631122,-0.048708765555463183,0.9675,0.14001178490583102,258
1.0,1,10,hmm_filtered,0.20637752512387034,0.1463662709471723,-0.06001125417669803,-0.40677121639995206,0.27832985803021637,0.6115,0.08798348207506325,257
1.0,1,10,hmm_smoothed,0.20637752512387034,0.23973729667524482,0.033359771551374484,-0.2894812453163328,0.35089278538572233,0.4375,0.07219010511944224,257
1.0,1,10,gmm_filtered,0.20637752512387034,0.043121189025800276,-0.16325633609807005,-0.4915595401745535,0.15337686675107493,0.8185,0.10723081466543054,257
1.0,1,10,rules,0.20637752512387034,-0.014962763449432669,-0.221340288573303,-0.4825945989846699,0.032656378402034204,0.9265,0.13994085504303838,257
1.0,1,20,hmm_filtered,0.20637752512387034,0.12907652844606468,-0.07730099667780566,-0.4263538596109374,0.26039364117730046,0.645,0.08798348207506325,257
1.0,1,20,hmm_smoothed,0.20637752512387034,0.2273377396955904,0.020960214571720065,-0.3011163215915533,0.33838565111826197,0.4605,0.07219010511944224,257
