eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.5,0,50,hmm_smoothed,0.2117096456711808,0.13462062883130158,-0.07708901683987923,-0.26166043994939103,0.09627826868293718,0.776,0.04541956130033425,258
0.5,1,10,hmm_filtered,0.20637752512387034,0.2149833772702519,0.00860585214638157,-0.1835815398525725,0.18601294541152125,0.4745,0.03922176772156568,257
0.5,1,10,hmm_smoothed,0.20637752512387034,0.16299637773888756,-0.04338114738498278,-0.23932848041972427,0.15716913587432815,0.639,0.04545618743711306,257
0.5,1,20,hmm_filtered,0.20637752512387034,0.20496474699364323,-0.0014127781302271103,-0.19339716381454838,0.17345008169104895,0.5125,0.03922176772156568,257
0.5,1,20,hmm_smoothed,0.20637752512387034,0.15148947723637077,-0.05488804788749957,-0.25120984332262747,0.14553147938798852,0.6735,0.04545618743711306,257
0.5,1,50,hmm_filtered,0.20637752512387034,0.17492680853910558,-0.031450716584764754,-0.2235973898288831,0.14014730210145443,0.623,0.03922176772156568,257
0.5,1,50,hmm_smoothed,0.20637752512387034,0.1169427622012956,-0.08943476292257474,-0.28722753172464865,0.11207898869892936,0.7825,0.04545618743711306,257
1.0,0,10,hmm_filtered,0.2117096456711808,0.23857321558635558,0.026863569915174773,-0.27477193377297904,0.3163262364260902,0.473,0.07860513224062216,258
1.0,0,10,hmm_smoothed,0.2117096456711808,0.1292167232793208,-0.08249292239186001,-0.39204963727272574,0.20501786927787014,0.694,0.0908391226006685,258
1.0,0,20,hmm_filtered,0.2117096456711808,0.22300722254481448,0.011297576873633669,-0.2901989265508288,0.3018940042585711,0.5075,0.07860513224062216,258
1.0,0,20,hmm_smoothed,0.2117096456711808,0.11092201911487024,-0.10078762655631057,-0.41033617924703647,0.18928102677691575,0.7275,0.0908391226006685,258
1.0,0,50,hmm_filtered,0.2117096456711808,0.17611688724530863,-0.03559275842587217,-0.33621969816458525,0.25687267400072594,0.6005,0.07860513224062216,258
1.0,0,50,hmm_smoothed,0.2117096456711808,0.05598809685025974,-0.15572154882092107,-0.47025345303691257,0.14044766134498188,0.813,0.0908391226006685,258
1.0,1,10,hmm_filtered,0.20637752512387034,0.18460481922539412,-0.021772705898476213,-0.3462114742062855,0.28009398023143994,0.55,0.07844353544313136,257
1.0,1,10,hmm_smoothed,0.20637752512387034,0.10457075447284932,-0.10180677065102102,-0.439166156048347,0.2331228351797286,0.687,0.09091237487422613,257
1.0,1,20,hmm_filtered,0.20637752512387034,0.16905335968982213,-0.037324165434048207,-0.3621236455523967,0.26400326411835884,0.5885,0.07844353544313136,257
1.0,1,20,hmm_smoothed,0.20637752512387034,0.0865690417387761,-0.11980848338509424,-0.4586666887911586,0.21246727599675974,0.7255,0.09091237487422613,257
1.0,1,50,hmm_filtered,0.20637752512387034,0.1224590510649504,-0.08391847405891993,-0.4115178530414771,0.21759052084749322,0.6815,0.07844353544313136,257
1.0,1,50,hmm_smoothed,0.20637752512387034,0.032506386559011155,-0.1738711385648592,-0.5121107933543676,0.16334542003961558,0.8045,0.09091237487422613,257
