eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.5,1,50,hmm_smoothed,0.20637752512387034,0.2183037767732533,0.011926251649382963,-0.1650547470043706,0.19199768485578544,0.4675,0.027734776698933983,257
0.5,1,50,gmm_filtered,0.20637752512387034,0.06331316731559429,-0.14306435780827603,-0.33659975870381537,0.037631663236875855,0.9105,0.05082875574343136,257
0.5,1,50,rules,0.20637752512387034,0.028852820938570316,-0.17752470418530003,-0.33724837427126303,-0.0348966244343541,0.981,0.04595851372177027,257
1.0,0,10,hmm_filtered,0.2117096456711808,0.1352550617082948,-0.07645458396288601,-0.3551631674879097,0.19992455239635967,0.6835,0.0706807698951245,258
1.0,0,10,hmm_smoothed,0.2117096456711808,0.29670242789578327,0.08499278222460246,-0.20590653554615576,0.3619812699054248,0.305,0.055254555128883984,258
1.0,0,10,gmm_filtered,0.2117096456711808,0.026057935354498258,-0.18565171031668254,-0.560347587506714,0.14044074280879024,0.808,0.1036654231130999,258
1.0,0,10,rules,0.2117096456711808,0.00033611004456111167,-0.2113735356266197,-0.5395506114179355,0.11740050528970614,0.8655,0.09217409617299789,258
1.0,0,20,hmm_filtered,0.2117096456711808,0.11980251549012035,-0.09190713018106046,-0.37181181735696794,0.18239556877619761,0.7135,0.0706807698951245,258
1.0,0,20,hmm_smoothed,0.2117096456711808,0.28734705850537745,0.07563741283419664,-0.21488859863779294,0.3534559695376496,0.3195,0.055254555128883984,258
1.0,0,20,gmm_filtered,0.2117096456711808,0.005446448962658553,-0.20626319670852225,-0.5814524477032128,0.12083110109997769,0.8415,0.1036654231130999,258
1.0,0,20,rules,0.2117096456711808,-0.018717497928181375,-0.23042714359936217,-0.5571223574016874,0.09523309823042692,0.887,0.09217409617299789,258
1.0,0,50,hmm_filtered,0.2117096456711808,0.07340637291554264,-0.13830327275563817,-0.4266590551787262,0.12936515711180427,0.7955,0.0706807698951245,258
1.0,0,50,hmm_smoothed,0.2117096456711808,0.25907665197961144,0.04736700630843063,-0.23763047014055963,0.32260207422088727,0.3815,0.055254555128883984,258
1.0,0,50,gmm_filtered,0.2117096456711808,-0.05615593669570686,-0.2678655823668877,-0.6452434468387794,0.06258174775278168,0.91,0.1036654231130999,258
1.0,0,50,rules,0.2117096456711808,-0.07567784006041621,-0.287387485731597,-0.6111012752564384,0.028668766660144337,0.9335,0.09217409617299789,258
1.0,1,10,hmm_filtered,0.20637752512387034,0.0986259810932928,-0.10775154403057753,-0.42329759174093007,0.21741503553562463,0.7115,0.07084769558485904,257
1.0,1,10,hmm_smoothed,0.20637752512387034,0.22302545573920693,0.016647930615336592,-0.2839827367764902,0.32675386086107444,0.4745,0.055469553397867966,257
1.0,1,10,gmm_filtered,0.20637752512387034,0.029840396860980202,-0.17653712826289014,-0.503283126192681,0.13781363027045354,0.842,0.10165751148686272,257
1.0,1,10,rules,0.20637752512387034,-0.029840542652827876,-0.2362180677766982,-0.5101300283256266,0.017189006842010864,0.9405,0.09191702744354054,257
