date,p0,p1,p2
1995-04-30,1.7973933482364404e-05,3.7266706495638113e-10,0.9999820256940574
1995-05-31,6.659989624382519e-06,1.506884858246734e-09,0.9999933385032781
1995-06-30,1.4903397189917911e-05,2.0234512803070197e-09,0.9999850945793163
1995-07-31,2.2316331867610674e-05,1.5891541068913936e-08,0.9999776677765866
1995-08-31,0.00011615908238086658,5.070478820346004e-09,0.999883835846995
1995-09-30,0.0007105309476944386,2.207964572915828e-08,0.9992894469727154
1995-10-31,0.0015996433517596097,1.1223055695553188e-09,0.9984003555259793
1995-11-30,4.635148851037171e-05,1.0399676736253684e-10,0.9999536484075819
1995-12-31,4.331683823266415e-05,2.3170138124018735e-10,0.9999566829302006
1996-01-31,4.464176721809612e-05,7.351741713470459e-08,0.9999552847154934
1996-02-29,0.0027716837061880673,0.00015544886790416244,0.9970728674258978
1996-03-31,0.7638569546802653,0.00047735570595389793,0.23566568961389917
1996-04-30,0.9328462394502067,6.725718821871401e-05,0.0670865033616418
1996-05-31,0.9969706960402408,8.389881072797174e-07,0.0030284649714664813
1996-06-30,0.9999900110391123,1.2053966286408934e-07,9.868421109753426e-06
1996-07-31,0.9999971461256587,2.2154781358423113e-07,2.6323267200075387e-06
1996-08-31,0.999902393276356,2.3638227829075344e-07,9.737034158574119e-05
1996-09-30,0.9999976021310076,2.5252029732713816e-07,2.1453486799956793e-06
1996-10-31,0.99999823639856,4.08004149020935e-07,1.3555975058577072e-06
1996-11-30,0.9999829353369861,2.5168586979409005e-07,1.68129773601133e-05
1996-12-31,0.9999994812534605,1.3965257243462258e-07,3.7909392839632973e-07
1997-01-31,0.9999994442847945,1.0253517696788619e-07,4.5317984477574147e-07
1997-02-28,0.9999996785473347,8.296542474439023e-08,2.384872608260041e-07
1997-03-31,0.999992895265905,6.474612644625662e-08,7.039987809051257e-06
1997-04-30,0.9999999257352129,7.33503398359766e-08,9.143978397076909e-10
1997-05-31,0.9999994721871673,1.9167371484811045e-07,3.3613925339728676e-07
1997-06-30,0.9999997372938542,1.99767416544353e-07,6.29385938183714e-08
1997-07-31,0.9999998180283166,1.8123754658990362e-07,7.339527378309071e-10
1997-08-31,0.9999996847396275,3.0900899970473724e-07,6.251217394006152e-09
1997-09-30,0.9999997475293049,2.3318540995753597e-07,1.9285217968993995e-08
1997-10-31,0.9999994813357698,5.186630581361697e-07,1.29996176894988e-12
1997-11-30,0.999999943834611,5.6122343625993616e-08,4.310922598796933e-11
1997-12-31,0.9999999003926,9.939945707531185e-08,2.0808181294599475e-10
1998-01-31,0.9999996856786805,3.124963727578623e-07,1.8248566598829048e-09
1998-02-28,0.9999998394437299,1.3109473381446345e-07,2.946153869843793e-08
1998-03-31,0.9999997753502864,2.2449270822037955e-07,1.572215942867057e-10
1998-04-30,0.9999994778142081,2.9549046117295363e-07,2.266953488952278e-07
1998-05-31,0.9999995705535197,1.8697055808817923e-07,2.4247605817731103e-07
1998-06-30,0.9999996179822849,1.988460450993637e-07,1.8317178537575804e-07
1998-07-31,0.9999940260364564,3.364476917341765e-07,5.637515666299028e-06
1998-08-31,0.9998793854919437,0.0001204539687373281,1.6053953556012848e-07
1998-09-30,0.9999337362101177,6.613611781876882e-05,1.276718770017323e-07
1998-10-31,0.7869833514305727,6.197635209949593e-06,0.21301045093429646
1998-11-30,0.0777466830791643,1.18875148535502e-06,0.9222521281693566
1998-12-31,0.0037096926574073977,8.599742835869332e-06,0.9962817075997817
1999-01-31,0.017863522078634158,0.00013677958736018082,0.9819996983338246
1999-02-28,0.4676971558957931,0.0004125094001730115,0.5318903347040115
1999-03-31,0.9222649091796647,0.0005075404813018164,0.07722755033909202
1999-04-30,0.9996159526527221,0.00028354546192815145,0.00010050188519691203
1999-05-31,0.9998986181353098,1.758060908207812e-05,8.380125580602201e-05
1999-06-30,0.9999011395019229,4.557584330779833e-06,9.430291389440286e-05
1999-07-31,0.9999956937192062,4.079002068289472e-06,2.2727853343429844e-07
1999-08-31,0.9999995083013645,4.916385040631577e-07,6.014717882433579e-11
1999-09-30,0.9999998418579833,1.195208168665276e-07,3.862106648517432e-08
1999-10-31,0.9999988802648562,3.454447704290519e-08,1.0851905220169893e-06
1999-11-30,0.9999999850347195,1.496517295769601e-08,1.9463847103892257e-14
1999-12-31,0.9999999969759301,3.023867652979095e-09,1.134913631033913e-15
2000-01-31,0.9999999995411599,4.5892246528874096e-10,1.0348264942644919e-18
2000-02-29,0.9999999957271939,4.272882302748515e-09,1.8058375294860803e-23
2000-03-31,0.9999999966830728,3.3167213018636095e-09,4.702870529371038e-15
