date,p0,p1,p2,p3,refit_date
2008-03-31,7.222622778972646e-262,2.9365330682714003e-44,0.9999999999998772,1.2277113462536096e-13,2007-12-31
2008-04-30,6.253866865254346e-253,4.77703286236904e-37,0.9999980002634977,1.9997365022777533e-06,2007-12-31
2008-05-31,6.976442123451856e-240,1.3684461831899672e-20,0.9999346392534846,6.5360746515458e-05,2007-12-31
2008-06-30,7.333903093646446e-257,1.3270895850916207e-18,0.9999999707403984,2.9259601603274233e-08,2007-12-31
2008-07-31,2.7938750218393646e-265,2.44296512596487e-25,0.9999943845246139,5.6154753861542745e-06,2007-12-31
2008-08-31,9.68782572180755e-277,4.119830735548444e-20,0.5883487452518713,0.4116512547481286,2007-12-31
2008-09-30,1.1531583464867296e-281,2.7114140153935984e-13,0.9999999999997288,1.1402791800882883e-27,2007-12-31
2008-10-31,1.64677068820652e-302,1.0940006497402737e-17,1.0,4.1943053110756e-74,2007-12-31
2008-11-30,0.0,3.4028655834763353e-09,0.9999999965971343,2.0612511734719696e-87,2007-12-31
2008-12-31,9.870824434468144e-239,1.0,1.2487682321955362e-31,7.22847726838993e-62,2008-12-31
2009-01-31,1.8573443463992464e-252,1.0,1.4200306864583216e-27,9.800007598844767e-75,2008-12-31
2009-02-28,1.3706631325241166e-258,1.0,3.3735442759584906e-27,1.5088456472569597e-74,2008-12-31
2009-03-31,6.650711559668682e-288,1.0,1.822126410248481e-25,4.3016905374331497e-51,2008-12-31
2009-04-30,1.9256364502322964e-276,1.0,1.0331688867522845e-20,4.410917062553945e-50,2008-12-31
2009-05-31,5.214011181912404e-258,1.0,1.2009248388447187e-18,6.341222395220148e-52,2008-12-31
2009-06-30,6.331887516853337e-254,1.0,5.345084243363564e-19,6.729090411432424e-49,2008-12-31
2009-07-31,1.5893972820788191e-261,0.9999999999999986,1.470884893215474e-15,2.8557883959069448e-40,2008-12-31
2009-08-31,6.05802121488885e-262,0.9999999999995886,4.114412319878796e-13,5.5821015538908846e-36,2008-12-31
2009-09-30,4.071097277252417e-249,0.9999927631954613,7.236804538766667e-06,7.305124987445869e-26,2008-12-31
2009-10-31,1.1758177600747087e-232,3.031200757923587e-14,0.9999999999999696,9.926132256882008e-27,2008-12-31
2009-11-30,8.481775986337933e-279,3.1658856597916613e-15,0.9999999999999651,3.1738135180384097e-14,2008-12-31
2009-12-31,0.0,5.9193237347472104e-08,0.9999999408067627,1.1649125219220067e-84,2009-12-31
2010-01-31,0.0,1.8983335159948112e-05,0.9999810166648401,2.8307751339646313e-89,2009-12-31
2010-02-28,0.0,7.18528773872227e-08,0.9999999281471227,3.528497565696325e-94,2009-12-31
2010-03-31,0.0,1.172909881244856e-10,0.9999999998827089,9.81067914974657e-92,2009-12-31
2010-04-30,0.0,2.6130005782705657e-08,0.9999999738699942,1.3892967720038844e-92,2009-12-31
2010-05-31,0.0,0.5067253534310775,0.49327464656892245,2.2165660931144087e-76,2009-12-31
2010-06-30,0.0,0.9955092130576632,0.0044907869423368215,3.8831926602112354e-80,2009-12-31
2010-07-31,0.0,3.5503162043229625e-11,0.9999999999644968,7.242015411080896e-87,2009-12-31
2010-08-31,0.0,4.5455536077664614e-08,0.9999999545444639,1.4164196097469597e-77,2009-12-31
2010-09-30,0.0,1.6173399027426712e-10,0.999999999838266,3.224865724077941e-83,2009-12-31
2010-10-31,0.0,4.932299627212523e-16,0.9999999999999996,4.485132906369545e-85,2009-12-31
2010-11-30,0.0,2.5263213591752385e-11,0.9999999999747368,1.317472783561563e-80,2009-12-31
2010-12-31,4.399486975615395e-55,5.227039865785912e-44,1.0,1.5691029674931803e-47,2010-12-31
2011-01-31,2.18864111982926e-59,5.20463839617204e-35,1.0,1.1434237713611511e-55,2010-12-31
2011-02-28,4.218025310759059e-67,4.71483046958434e-31,1.0,1.0409960723654965e-48,2010-12-31
2011-03-31,9.522369655489951e-59,1.590248161385436e-35,1.0,2.2255853219614773e-48,2010-12-31
2011-04-30,2.6519682979281045e-59,9.738649176339632e-39,1.0,1.0725975796079133e-50,2010-12-31
2011-05-31,3.0103598580174474e-66,3.7774314304740687e-26,1.0,9.211763744971662e-48,2010-12-31
2011-06-30,7.697493289296406e-66,1.340274681202374e-19,1.0,1.1690963078250518e-44,2010-12-31
2011-07-31,2.850784928703757e-65,1.477990994866512e-11,0.99999999998522,5.951275083889467e-41,2010-12-31
2011-08-31,1.2977666319919568e-62,1.7467639256412166e-09,0.999999998253236,1.5198674097593356e-33,2010-12-31
2011-09-30,7.053583976089643e-52,3.178404254852592e-10,0.9999999996821596,2.1882529416845913e-25,2010-12-31
2011-10-31,1.7599974910739093e-41,1.6520406940512123e-15,0.9999999999999984,2.5544039085744406e-29,2010-12-31
2011-11-30,6.596217378815105e-45,6.6606388842606445e-18,1.0,2.6695596678316876e-29,2010-12-31
2011-12-31,1.0246846400772729e-48,9.482178384948021e-18,1.0,1.8780150109530913e-18,2011-12-31
2012-01-31,4.531892893752713e-40,1.0563511026442524e-19,0.9999999999999992,7.568382610138693e-16,2011-12-31
2012-02-29,6.541159256354773e-36,2.8687049400839812e-21,0.9999999999999999,9.805623812627417e-17,2011-12-31
2012-03-31,5.541383093649631e-30,1.141206023937322e-32,0.9999999999999999,7.849675260523475e-17,2011-12-31
2012-04-30,4.232919902475641e-32,1.5279810366582248e-29,0.9999999999999191,8.08902482199297e-14,2011-12-31
2012-05-31,3.992219242504405e-34,9.795601643874036e-27,0.9999999999999738,2.6253779914357416e-14,2011-12-31
2012-06-30,2.668302783037209e-26,3.0627975649817245e-30,0.9999999999864098,1.3590222515914516e-11,2011-12-31
