date,p0,p1,p2,p3
2003-01-31,0.9999999103210979,8.967884524155007e-08,1.0674496269855681e-46,4.385769027179931e-73
2003-02-28,0.9999999916658453,8.334198754516287e-09,4.214542094440098e-44,2.838534817774872e-74
2003-03-31,0.9999999782839952,2.1715804615723907e-08,1.149636594303641e-42,5.62981796568648e-63
2003-04-30,0.9999995750255032,4.249747006357507e-07,3.2894149236613683e-45,4.5717765268137776e-63
2003-05-31,0.9999999999308784,6.894886162053245e-11,8.720904172296967e-37,8.564993692052598e-64
2003-06-30,0.9999999990636752,9.363095923367458e-10,9.440407245992599e-44,1.4431366264906137e-55
2003-07-31,0.999993772760098,6.2272398948677255e-06,3.813754230835304e-64,6.252332739700421e-69
2003-08-31,0.9999984888611428,1.5111386774037472e-06,6.2494114169098094e-62,8.656249469089927e-91
2003-09-30,0.9999999999949978,4.982913379960805e-12,3.1782653261746804e-55,2.4052882741633267e-82
2003-10-31,0.9999999982942427,1.7059388401650802e-09,3.868902236314195e-52,2.3156336362761814e-77
2003-11-30,0.9999999974706952,2.529297715099857e-09,6.219996288668988e-47,2.2330466186491667e-76
2003-12-31,0.9999999999995453,4.867350930623014e-13,1.0593283729884202e-54,8.194725723178944e-69
2004-01-31,0.9999999998763087,1.2359378398600064e-10,7.259849959378552e-54,1.1697033924677718e-76
2004-02-29,0.9999999999940883,5.702694426121221e-12,6.012215036711054e-53,3.765175079483689e-70
2004-03-31,0.9999999997103259,2.8987506332598664e-10,1.012077958005377e-46,4.4421680504069005e-71
2004-04-30,0.999999993381607,6.618180984059914e-09,1.0374013467252186e-48,7.810252261208827e-68
2004-05-31,0.999999999998181,1.9493628153923773e-12,1.1054820376643681e-51,2.6015355862293255e-64
2004-06-30,1.0,1.1932293512211127e-13,5.0926435444733904e-42,4.911734776552576e-62
2004-07-31,0.9999999999863576,1.3790834690665385e-11,5.929025765620276e-37,1.3576865787852294e-54
2004-08-31,0.9999999999977263,2.470260053020563e-12,1.7260465344284418e-38,1.1385111316351806e-52
2004-09-30,1.0,1.0979938737733884e-15,5.0417605735599855e-31,5.433456386657376e-49
2004-10-31,0.9999999999499778,5.0163553280608435e-11,6.262213858650261e-31,3.4782506375294004e-49
