date,p0,p1,p2
2008-06-30,2.5778761194235637e-06,0.9999974221210809,2.613089168964604e-12
2008-07-31,0.00018013736473763156,0.9998198622333867,4.020472217814117e-10
2008-08-31,0.03694879229064602,0.9630512064777017,1.2316467252839628e-09
2008-09-30,0.9999027512199579,9.72487801663643e-05,2.4801366042082728e-20
2008-10-31,1.0,3.1886340853325825e-15,2.7331954013289133e-40
2008-11-30,1.0,1.3570390346880277e-18,3.581779940310227e-57
2008-12-31,1.0,1.6613624452475868e-20,2.7050556203314746e-65
2009-01-31,1.0,8.28895173079422e-21,2.9252859384518313e-73
2009-02-28,1.0,7.866978123079977e-22,1.2887500450628297e-82
2009-03-31,1.0,3.484463884119059e-21,2.2773168019037507e-89
2009-04-30,1.0,8.289702545413794e-20,3.552252469278232e-87
2009-05-31,1.0,7.023130802032611e-18,1.6258069394307105e-86
2009-06-30,1.0,1.863478743087698e-17,6.622129181135123e-81
2009-07-31,1.0,7.647749729481414e-16,1.0713243810341936e-74
2009-08-31,1.0,6.602281978691645e-14,1.1773349742290608e-63
2009-09-30,0.9999999999163265,8.353245263320327e-11,6.698665342117803e-53
2009-10-31,0.9999997450322878,2.5496782074813666e-07,9.735299029715003e-46
2009-11-30,0.9986421811879985,0.0013578188119305929,1.1647336292921458e-41
2009-12-31,0.004910252195312486,0.9950897478048564,7.772123674838428e-33
2010-01-31,4.131262190368837e-06,0.9999958687379903,5.493719950610091e-22
2010-02-28,4.5057995887257886e-09,0.9999999954943632,7.50493397072753e-18
2010-03-31,3.4152189091196356e-11,0.999999999965894,3.9820509799906174e-14
2010-04-30,5.109713175796592e-10,0.9999999994884092,5.552215831375856e-13
2010-05-31,9.676723168733543e-07,0.9999990323190239,8.580282065454067e-12
2010-06-30,1.5351714607787872e-06,0.9999984647995876,2.888497632714041e-11
2010-07-31,7.11676847164953e-08,0.9999999287101698,1.2235976438011966e-10
2010-08-31,4.5186547336226887e-07,0.9999995450390213,3.0955940671425106e-09
2010-09-30,7.027430399283888e-08,0.9999999217825493,7.943271074852853e-09
2010-10-31,3.8595806522844277e-08,0.9999999567685345,4.635552245833782e-09
2010-11-30,3.106803891123598e-08,0.9999999671481424,1.7839150175351343e-09
2010-12-31,3.0474449208258807e-09,0.9999999958004082,1.151963971291122e-09
2011-01-31,6.290552236523602e-10,0.9999999992605808,1.104445979661149e-10
2011-02-28,3.2305894970139146e-10,0.9999999994679456,2.0911833931688506e-10
2011-03-31,1.979922266972668e-10,0.9999999996466613,1.5537218371185003e-10
2011-04-30,7.176407298934028e-11,0.9999999998763087,5.186120284400244e-11
2011-05-31,1.1530574761496477e-10,0.999999999778538,1.0633103211648819e-10
2011-06-30,1.2563418552045415e-10,0.9999999996143742,2.6005459483281955e-10
2011-07-31,2.1147124845729953e-08,0.9999999780320652,8.206219448568279e-10
2011-08-31,1.4765378199519082e-07,0.9999998464700302,5.876308315157646e-09
2011-09-30,2.152764454270898e-05,0.9999783626971153,1.096583622661752e-07
2011-10-31,3.953061792648e-07,0.9999994915293811,1.1316446124862459e-07
2011-11-30,2.3463702339674525e-07,0.9999996772772258,8.808596067996234e-08
2011-12-31,4.91972343194712e-07,0.9999994779988354,3.002890151948349e-08
2012-01-31,2.89442822094301e-07,0.9999991341364076,5.764208207079616e-07
2012-02-29,8.799120210745128e-08,0.9999992579208108,6.540879832713701e-07
2012-03-31,2.6045906418309918e-08,0.9999997231234757,2.5083077793601465e-07
2012-04-30,1.3847831917864316e-07,0.9999991221088055,7.394129480771909e-07
2012-05-31,1.5564177034135314e-06,0.9999982664545788,1.7712777585090931e-07
2012-06-30,2.836849311491744e-07,0.99999823839899,1.4779162428600465e-06
2012-07-31,5.316291780752219e-07,0.9999985121255277,9.562453652772853e-07
2012-08-31,3.98184981185529e-08,0.9999979685037659,1.991677731545144e-06
2012-09-30,2.6584566829450066e-09,0.9999992081978641,7.891438485637968e-07
2012-10-31,2.959793370757097e-08,0.9999997328141392,2.3758811687935588e-07
2012-11-30,2.410898291666873e-08,0.9999972478241617,2.728066862453067e-06
2012-12-31,1.1060016573517951e-08,0.9999994026763454,5.862635121582596e-07
2013-01-31,1.7290033637919121e-09,0.999998664110518,1.3341606335950598e-06
2013-02-28,2.6613833692629537e-08,0.9999941881911302,5.785195256458717e-06
2013-03-31,3.5126186766344045e-09,0.999990225057017,9.771430318249268e-06
2013-04-30,3.70906646196413e-09,0.9999838915220187,1.6104769102173353e-05
2013-05-31,4.2656021508485674e-10,0.9999971108673789,2.8887059093991136e-06
2013-06-30,2.399740829426213e-10,0.9999994243923376,5.753676293745544e-07
2013-07-31,3.965857373579787e-12,0.9999995105778287,4.894181891743728e-07
2013-08-31,1.0596271029903628e-11,0.9999998690664228,1.309231605038322e-07
2013-09-30,2.0182836415536472e-11,0.999999837212285,1.6276767431308964e-07
2013-10-31,1.6421979269529062e-11,0.9999994097558479,5.902277585911666e-07
2013-11-30,4.737643324425384e-12,0.9999998239814132,1.7601406087807735e-07
2013-12-31,9.840672694570376e-13,0.9999999589899753,4.100894975087298e-08
2014-01-31,3.144912745086554e-10,0.999999993268375,6.417181784033293e-09
2014-02-28,1.6085938637924897e-11,0.9999999865394784,1.3444252365129295e-08
2014-03-31,1.479605778330073e-11,0.9999998124167353,1.8756826914406487e-07
2014-04-30,4.122992179691232e-12,0.9999995732265234,4.2676949772365437e-07
2014-05-31,1.5065194736029284e-11,0.9999998964822279,1.0350269004753717e-07
2014-06-30,2.0949531270025017e-11,0.9999999375995705,6.237932396905371e-08
2014-07-31,4.482009744987263e-10,0.999999988799118,1.0752777862979572e-08
2014-08-31,2.860207240385541e-10,0.9999997339778374,2.657361705948113e-07
2014-09-30,2.7358833780301476e-09,0.9999998178850712,1.7937883372954634e-07
2014-10-31,2.8922361475898215e-09,0.999999938871044,5.823649782180474e-08
2014-11-30,2.173182833420899e-08,0.9999999520314315,2.6236565062851333e-08
2014-12-31,1.7993263239041577e-06,0.9999981951848811,5.488864000127607e-09
2015-01-31,3.199172756887401e-05,0.9999680015270389,6.745442567423657e-09
2015-02-28,1.896976893613954e-06,0.9999980824286663,2.0594522504926534e-08
2015-03-31,4.358288238631174e-06,0.9999956381520492,3.5597082486460424e-09
2015-04-30,4.769147020768395e-07,0.9999993385642851,1.8452103206450405e-07
2015-05-31,2.0028265760430662e-07,0.9999991690041312,6.307133882220135e-07
2015-06-30,5.71944264337261e-07,0.9999993142566914,1.1379906909735824e-07
2015-07-31,3.229986624377484e-07,0.9999995432091189,1.3379214347892161e-07
2015-08-31,3.8772153180500064e-05,0.999961215604326,1.2242561965013986e-08
2015-09-30,5.332532010154325e-05,0.9999466456315889,2.9048447674056703e-08
2015-10-31,6.794481219996443e-07,0.999995910704177,3.4098477175440964e-06
2015-11-30,3.000711945311907e-07,0.9999299859487208,6.971397994962176e-05
2015-12-31,6.962046432412898e-07,0.9989763002847193,0.0010230035107028012
2016-01-31,2.655838453285055e-06,0.9888841638652497,0.011113180296422465
2016-02-29,6.93497271648496e-06,0.9059896095025268,0.09400345552459242
2016-03-31,7.959293151386304e-08,0.46092634727656695,0.539073573130456
